Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,0,1,280,160,280,180,4
0,0,0,0,1,280,180,280,180,4
0,0,0,90,1,280,200,120,200,4
0,0,0,97.13,0,280,220,120,200,4
0,0,0,8.13,1,260,220,120,200,2
0,0,0,9.46,1,240,220,120,200,2
0,0,0,11.31,1,220,220,120,200,2
0,0,0,14.04,1,200,220,120,200,2
0,0,0,90,1,200,200,120,200,3
0,0,0,0,1,180,200,120,200,2
0,0,0,0,1,160,200,120,200,2
0,0,0,0,1,140,200,120,200,2
0,0,0,0,1,120,200,120,200,2
0,0,0,135,0,100,200,220,320,2
0,0,0,139.4,0,100,180,220,320,3
0,0,0,143.13,0,100,160,220,320,3
0,0,0,57.99,1,120,160,220,320,1
0,0,0,63.43,1,140,160,220,320,1
0,0,0,69.44,1,160,160,220,320,1
0,0,0,75.96,1,180,160,220,320,1
0,0,0,82.87,1,200,160,220,320,1
0,0,0,90,1,220,160,220,320,1
0,0,0,0,1,220,180,220,320,4
0,0,0,0,1,220,200,220,320,4
0,0,0,0,1,220,220,220,320,4
0,0,0,0,1,220,240,220,320,4
0,0,0,0,1,220,260,220,320,4
0,0,0,0,1,220,280,220,320,4
0,0,0,0,1,220,300,220,320,4
0,0,0,0,1,220,320,220,320,4
0,0,0,116.57,0,200,320,320,80,2
0,0,0,120.26,0,180,320,320,80,2
0,0,0,32.47,1,180,300,320,80,3
0,0,0,34.99,1,180,280,320,80,3
0,0,0,37.87,1,180,260,320,80,3
0,0,0,41.19,1,180,240,320,80,3
0,0,0,53.13,1,200,240,320,80,1
0,0,0,57.99,1,220,240,320,80,1
0,0,0,35.54,1,220,220,320,80,3
0,0,0,39.81,1,220,200,320,80,3
0,0,0,45,1,220,180,320,80,3
0,0,0,51.34,1,240,180,320,80,1
0,0,0,59.04,1,260,180,320,80,1
0,0,0,36.87,1,260,160,320,80,3
0,0,0,45,1,260,140,320,80,3
0,0,0,56.31,1,280,140,320,80,1
0,0,0,71.57,1,300,140,320,80,1
0,0,0,26.57,1,300,120,320,80,3
0,0,0,45,1,300,100,320,80,3
0,0,0,90,1,300,80,320,80,3
0,0,0,0,1,320,80,320,80,1
0,0,0,135,0,340,80,40,380,1
0,0,0,136.85,0,360,80,40,380,1
0,0,0,48.81,1,360,100,40,380,4
0,0,0,50.91,1,360,120,40,380,4
0,0,0,53.13,1,360,140,40,380,4
0,0,0,55.49,1,360,160,40,380,4
0,0,0,36.25,1,340,160,40,380,2
0,0,0,38.16,1,320,160,40,380,2
0,0,0,54.46,1,320,180,40,380,4
0,0,0,57.26,1,320,200,40,380,4
0,0,0,34.7,1,300,200,40,380,2
