Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,0,1,240,180,380,180,1
0,0,0,0,1,260,180,380,180,1
0,0,0,0,1,280,180,380,180,1
0,0,0,0,1,300,180,380,180,1
0,0,0,0,1,320,180,380,180,1
0,0,0,0,1,340,180,380,180,1
0,0,0,0,1,360,180,380,180,1
0,1,0,0,1,380,180,380,180,1
0,0,1,101.31,0,380,160,280,180,3
0,0,1,111.8,0,380,140,280,180,3
0,0,1,120.96,0,380,120,280,180,3
0,0,0,36.87,1,360,120,280,180,2
0,0,0,45,1,340,120,280,180,2
0,0,0,56.31,1,320,120,280,180,2
0,0,0,71.57,1,300,120,280,180,2
0,0,0,90,1,280,120,280,180,2
0,0,0,0,1,280,140,280,180,4
0,0,0,0,1,280,160,280,180,4
0,0,0,0,1,280,180,280,180,4
0,0,0,101.31,0,280,200,380,180,4
0,0,0,111.8,0,280,220,380,180,4
0,0,0,120.96,0,280,240,380,180,4
0,0,0,36.87,1,300,240,380,180,1
0,0,0,45,1,320,240,380,180,1
0,0,0,56.31,1,340,240,380,180,1
0,0,0,71.57,1,360,240,380,180,1
0,1,0,90,1,380,240,380,180,1
0,0,1,0,1,380,220,380,180,3
0,0,1,0,1,380,200,380,180,3
0,0,1,0,1,380,180,380,180,3
0,0,1,75.96,1,380,160,300,140,3
0,0,1,90,1,380,140,300,140,3
0,0,0,0,1,360,140,300,140,2
0,0,0,0,1,340,140,300,140,2
0,0,0,0,1,320,140,300,140,2
0,0,0,0,1,300,140,300,140,2
0,0,0,7.13,1,280,140,120,120,2
0,0,0,8.13,1,260,140,120,120,2
0,0,0,9.46,1,240,140,120,120,2
0,0,0,11.31,1,220,140,120,120,2
0,0,0,14.04,1,200,140,120,120,2
0,0,0,18.43,1,180,140,120,120,2
0,0,0,26.57,1,160,140,120,120,2
0,0,0,45,1,140,140,120,120,2
0,0,0,90,1,120,140,120,120,2
0,0,0,0,1,120,120,120,120,3
0,0,0,135,0,120,100,260,240,3
0,0,0,138.81,0,120,80,260,240,3
0,0,0,53.13,1,140,80,260,240,1
0,0,0,57.99,1,160,80,260,240,1
0,0,0,63.43,1,180,80,260,240,1
0,0,0,69.44,1,200,80,260,240,1
0,0,0,75.96,1,220,80,260,240,1
0,0,0,82.87,1,240,80,260,240,1
0,0,0,90,1,260,80,260,240,1
0,0,0,0,1,260,100,260,240,4
0,0,0,0,1,260,120,260,240,4
0,0,0,0,1,260,140,260,240,4
0,0,0,0,1,260,160,260,240,4
0,0,0,0,1,260,180,260,240,4
0,0,0,0,1,260,200,260,240,4
0,0,0,0,1,260,220,260,240,4
0,0,0,0,1,260,240,260,240,4
0,0,0,155.56,0,260,260,160,40,4
0,0,0,157.38,0,260,280,160,40,4
0,0,0,71.57,1,240,280,160,40,2
0,0,0,75.96,1,220,280,160,40,2
0,0,0,80.54,1,200,280,160,40,2
0,0,0,85.24,1,180,280,160,40,2
0,0,0,90,1,160,280,160,40,2
0,0,0,94.76,0,140,280,160,40,2
0,0,0,5.19,1,140,260,160,40,3
0,0,0,5.71,1,140,240,160,40,3
0,0,0,6.34,1,140,220,160,40,3
0,0,0,7.13,1,140,200,160,40,3
0,0,0,8.13,1,140,180,160,40,3
0,0,0,9.46,1,140,160,160,40,3
0,0,0,11.31,1,140,140,160,40,3
0,0,0,14.04,1,140,120,160,40,3
0,0,0,18.43,1,140,100,160,40,3
0,0,0,26.57,1,140,80,160,40,3
0,0,0,45,1,140,60,160,40,3
0,0,0,90,1,140,40,160,40,3
0,0,0,0,1,160,40,160,40,1
0,0,0,0,1,180,40,300,40,1
0,0,0,0,1,200,40,300,40,1
0,0,0,0,1,220,40,300,40,1
0,0,0,0,1,240,40,300,40,1
0,0,0,0,1,260,40,300,40,1
0,0,0,0,1,280,40,300,40,1
0,0,0,0,1,300,40,300,40,1
0,0,0,130.6,0,320,40,80,320,1
0,0,0,42.71,1,320,60,80,320,4
0,0,0,45,1,320,80,80,320,4
0,0,0,47.49,1,320,100,80,320,4
0,0,0,50.19,1,320,120,80,320,4
0,0,0,53.13,1,320,140,80,320,4
0,0,0,56.31,1,320,160,80,320,4
0,0,0,59.74,1,320,180,80,320,4
0,0,0,63.43,1,320,200,80,320,4
0,0,0,28.61,1,300,200,80,320,2
0,0,0,30.96,1,280,200,80,320,2
0,0,0,33.69,1,260,200,80,320,2
0,0,0,36.87,1,240,200,80,320,2
0,0,0,40.6,1,220,200,80,320,2
