Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction
0,0,0,161.57,0,280,240,160,280,3
0,0,0,90.0,1,280,280,160,280,3
0,0,0,108.43,0,280,320,160,280,3
0,1,0,123.69,0,280,360,160,280,3
1,0,0,45.0,1,240,360,160,280,3
1,0,0,63.43,1,200,360,160,280,3
0,0,0,45.0,1,200,320,160,280,1
0,1,0,90.0,1,200,280,160,280,1
0,0,1,0.0,1,160,280,160,280,2
0,0,0,75.96,1,120,280,80,120,3
0,0,0,90.0,1,80,280,80,120,3
0,0,0,0.0,1,80,240,80,120,2
0,0,0,0.0,1,80,200,80,120,2
0,0,0,0.0,1,80,160,80,120,2
0,0,0,0.0,1,80,120,80,120,2
0,0,0,11.31,1,120,120,320,160,3
0,0,0,14.04,1,160,120,320,160,3
0,0,0,18.43,1,200,120,320,160,3
0,0,0,26.57,1,240,120,320,160,3
0,0,0,45.0,1,280,120,320,160,3
0,0,0,90.0,1,320,120,320,160,3
0,0,0,0.0,1,320,160,320,160,2
0,0,0,45.0,1,320,200,160,360,3
0,0,0,53.13,1,320,240,160,360,3
0,0,0,63.43,1,320,280,160,360,3
0,0,0,75.96,1,320,320,160,360,3
0,0,0,18.43,1,280,320,160,360,1
0,0,0,26.57,1,240,320,160,360,1
0,1,0,90.0,1,240,360,160,360,3
1,0,0,0.0,1,200,360,160,360,2
1,0,0,0.0,1,160,360,160,360,2
1,0,0,140.19,0,120,360,360,160,3
1,0,0,144.46,0,80,360,360,160,3
0,0,0,60.26,1,80,320,360,160,3
0,0,0,66.8,1,80,280,360,160,3
0,0,0,74.05,1,80,240,360,160,3
0,0,0,18.43,1,120,240,360,160,1
0,0,0,21.8,1,160,240,360,160,1
0,0,0,26.57,1,200,240,360,160,1
0,0,0,75.96,1,200,200,360,160,3
0,0,0,90.0,1,200,160,360,160,3
0,0,0,0.0,1,240,160,360,160,2
0,0,0,0.0,1,280,160,360,160,2
0,0,0,0.0,1,320,160,360,160,2
0,1,0,0.0,1,360,160,360,160,1
1,0,0,97.13,0,360,200,40,160,3
1,0,0,104.04,0,360,240,40,160,3
1,0,0,110.56,0,360,280,40,160,3
0,0,0,23.2,1,320,280,40,160,3
0,0,0,26.57,1,280,280,40,160,3
0,0,0,30.96,1,240,280,40,160,3
0,0,1,36.87,1,200,280,40,160,0
0,0,1,45.0,1,160,280,40,160,0
0,0,0,56.31,1,120,280,40,160,3
0,0,0,45.0,1,120,240,40,160,1
0,0,0,63.43,1,120,200,40,160,1
0,0,0,90.0,1,120,160,40,160,1
0,0,0,0.0,1,80,160,40,160,2
0,0,0,0.0,1,40,160,40,160,2
0,0,0,71.57,1,40,200,160,240,1
0,0,0,90.0,1,40,240,160,240,1
0,0,0,108.43,0,40,280,160,240,1
0,0,0,123.69,0,40,320,160,240,1
0,0,0,45.0,1,80,320,160,240,1
1,0,0,63.43,1,120,320,160,240,2
1,0,0,90.0,1,160,320,160,240,2
1,0,0,116.57,0,200,320,160,240,2
1,0,0,135.0,0,240,320,160,240,2
0,0,0,146.31,0,280,320,160,240,1
0,0,0,71.57,1,280,280,160,240,1
0,0,0,90.0,1,280,240,160,240,1
0,0,0,0.0,1,240,240,160,240,2
0,0,0,0.0,1,200,240,160,240,2
0,0,0,0.0,1,160,240,160,240,2
0,0,0,18.43,1,160,200,200,80,3
0,0,0,26.57,1,160,160,200,80,3
0,0,0,45.0,1,160,120,200,80,3
0,0,0,90.0,1,160,80,200,80,3
0,0,0,0.0,1,200,80,200,80,2
0,0,0,63.43,1,240,80,360,320,3
0,0,0,71.57,1,280,80,360,320,3
0,0,0,80.54,1,320,80,360,320,3
0,0,0,11.31,1,320,120,360,320,1
0,0,0,14.04,1,320,160,360,320,1
0,0,0,18.43,1,320,200,360,320,1
0,1,0,90.0,1,360,200,360,320,3
1,0,0,0.0,1,360,240,360,320,2
1,0,0,0.0,1,360,280,360,320,2
1,0,0,0.0,1,360,320,360,320,2
0,0,0,29.74,1,320,320,40,160,3
0,0,0,33.69,1,280,320,40,160,3
0,0,0,38.66,1,240,320,40,160,3
0,0,0,45.0,1,200,320,40,160,3
0,0,0,53.13,1,160,320,40,160,3
