Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction,,
0,0,1,8.13,1,160,40,200,320,1,,
0,0,0,90,1,200,40,200,320,3,,
0,0,0,0,1,200,80,200,320,2,,
0,0,0,0,1,200,120,200,320,2,,
0,0,0,0,1,200,160,200,320,2,,
0,0,0,0,1,200,200,200,320,2,,
0,1,0,0,1,200,240,200,320,1,,
0,1,1,116.57,0,240,240,200,320,1,,
1,0,0,161.57,0,240,200,200,320,2,,
1,0,0,165.96,0,240,160,200,320,2,,
1,0,0,168.69,0,240,120,200,320,2,,
1,0,0,170.54,0,240,80,200,320,2,,
1,0,0,171.87,0,240,40,200,320,2,,
0,1,0,172.87,0,240,0,200,320,1,,
1,1,1,90,1,200,0,200,320,2,,
0,0,0,99.46,0,160,80,120,320,3,,
0,0,0,11.31,1,160,120,120,320,3,,
0,0,0,90,1,120,120,120,320,1,,
0,0,0,0,1,120,160,120,320,2,,
0,0,0,0,1,120,200,120,320,2,,
0,0,0,0,1,120,240,120,320,2,,
0,0,0,0,1,120,280,120,320,2,,
0,0,0,0,1,120,320,120,320,2,,
0,1,0,153.43,0,120,360,80,280,3,,
1,0,0,90,1,80,360,80,280,3,,
0,0,1,0,1,80,320,80,280,2,,
0,0,0,0,1,80,280,80,280,2,,
0,0,0,50.19,1,80,240,320,40,3,,
0,0,0,45,1,120,240,320,40,1,,
0,0,0,51.34,1,120,200,320,40,3,,
0,0,0,45,1,160,200,320,40,1,,
0,0,0,53.13,1,160,160,320,40,3,,
0,0,0,45,1,200,160,320,40,1,,
0,0,0,56.31,1,200,120,320,40,3,,
0,0,0,45,1,240,120,320,40,1,,
0,0,0,63.43,1,240,80,320,40,3,,
0,0,0,45,1,280,80,320,40,1,,
0,0,0,90,1,280,40,320,40,3,,
0,0,0,0,1,320,40,320,40,2,,
0,1,0,180,0,360,40,40,40,3,,
1,0,0,97.13,0,360,80,40,40,3,,
0,1,1,8.13,1,320,80,40,40,1,,
0,0,0,105.95,0,320,120,40,40,3,,
0,0,0,18.43,1,280,120,40,40,3,,
0,0,1,80.54,1,280,80,40,40,1,,
0,0,0,11.31,1,240,80,40,40,3,,
0,0,0,90,1,240,40,40,40,1,,
0,0,0,0,1,200,40,40,40,2,,
0,0,0,0,1,160,40,40,40,2,,
0,0,0,0,1,120,40,40,40,2,,
0,0,0,0,1,80,40,40,40,2,,
0,0,0,0,1,40,40,40,40,2,,
0,1,0,180,0,0,40,360,40,3,,
1,1,0,96.34,0,0,0,360,40,3,,
1,0,1,7.13,1,40,0,360,40,2,,
1,0,1,8.13,1,80,0,360,40,2,,
1,0,0,9.46,1,120,0,360,40,3,,
0,0,0,90,1,120,40,360,40,1,,
0,0,0,0,1,160,40,360,40,2,,
0,0,0,0,1,200,40,360,40,2,,
0,0,0,0,1,240,40,360,40,2,,
0,0,0,0,1,280,40,360,40,2,,
0,0,0,0,1,320,40,360,40,2,,
0,1,0,0,1,360,40,360,40,1,,
0,1,1,135,0,360,0,320,40,1,,
1,0,1,90,1,320,0,320,40,2,,
1,0,1,135,0,280,0,320,40,2,,
1,0,1,153.43,0,240,0,320,40,2,,
0,0,1,161.57,0,200,0,320,40,1,,
0,0,0,90,1,200,40,320,40,1,,
1,0,0,0,1,240,40,320,40,2,,
1,0,0,0,1,280,40,320,40,2,,
1,0,0,0,1,320,40,320,40,2,,
0,1,0,172.87,0,360,40,40,80,3,,
1,0,0,90,1,360,80,40,80,3,,
0,0,1,0,1,320,80,40,80,2,,
0,0,1,0,1,280,80,40,80,2,,
0,0,1,0,1,240,80,40,80,2,,
0,0,0,0,1,200,80,40,80,2,,
0,0,0,0,1,160,80,40,80,2,,
0,0,0,0,1,120,80,40,80,2,,
0,0,0,0,1,80,80,40,80,2,,
0,0,0,0,1,40,80,40,80,2,,
0,1,0,139.4,0,0,80,280,320,1,,
0,0,1,54.46,1,0,120,280,320,1,,
1,0,0,39.81,1,40,120,280,320,3,,
0,0,0,56.31,1,40,160,280,320,1,,
0,0,0,38.66,1,80,160,280,320,3,,
0,0,0,59.04,1,80,200,280,320,1,,
0,0,0,36.87,1,120,200,280,320,3,,
0,0,0,63.43,1,120,240,280,320,1,,
0,0,0,33.69,1,160,240,280,320,3,,
0,0,0,71.57,1,160,280,280,320,1,,
0,0,0,26.57,1,200,280,280,320,3,,
0,0,0,90,1,200,320,280,320,1,,
0,0,0,0,1,240,320,280,320,2,,
0,0,0,0,1,280,320,280,320,2,,
0,0,0,135,0,320,320,240,240,1,,
0,0,0,63.43,1,320,280,240,240,1,,
1,0,0,45,1,280,280,240,240,3,,
0,0,0,90,1,280,240,240,240,1,,
0,0,0,0,1,240,240,240,240,2,,
1,1,0,135,0,200,240,320,120,3,,
0,0,0,56.31,1,200,200,320,120,3,,
0,0,1,45,1,240,200,320,120,1,,
0,0,0,63.43,1,240,160,320,120,3,,
0,0,0,45,1,280,160,320,120,1,,
0,0,0,90,1,280,120,320,120,3,,
0,0,0,0,1,320,120,320,120,2,,
0,1,0,116.57,0,360,120,320,40,1,,
0,0,1,45,1,360,80,320,40,1,,
1,0,0,90,1,320,80,320,40,3,,
0,0,0,0,1,320,40,320,40,2,,
0,1,0,146.31,0,320,0,160,240,1,,
0,0,1,63.43,1,280,0,160,240,1,,
1,0,0,30.96,1,280,40,160,240,3,,
0,0,0,68.2,1,240,40,160,240,1,,
