Left_B,Front_B,Right_B,Cosine_Angle,Collision,Head_x,Head_y,Food_x,Food_y,Sugg_Direction
0,0,0,143.13,0,220,60,140,120,1
0,0,0,149.04,0,240,60,140,120,1
0,0,0,153.43,0,260,60,140,120,1
0,0,0,156.8,0,280,60,140,120,1
0,0,0,159.44,0,300,60,140,120,1
0,0,0,53.97,1,140,60,300,280,1
0,0,0,57.53,1,160,60,300,280,1
0,0,0,61.39,1,180,60,300,280,1
0,0,0,65.56,1,200,60,300,280,1
0,0,0,70.02,1,220,60,300,280,1
0,0,0,74.74,1,240,60,300,280,1
0,0,0,79.7,1,260,60,300,280,1
0,0,0,84.81,1,280,60,300,280,1
0,0,0,90.0,1,300,60,300,280,1
0,0,0,95.19,0,320,60,300,280,1
0,0,0,100.3,0,340,60,300,280,1
0,0,0,105.26,0,360,60,300,280,1
0,1,0,109.98,0,380,60,300,280,1
0,0,0,114.44,-1,400,60,300,280,1
0,0,0,53.97,1,140,60,300,280,1
0,0,0,57.53,1,160,60,300,280,1
0,0,0,61.39,1,180,60,300,280,1
0,0,0,65.56,1,200,60,300,280,1
0,0,0,26.57,1,140,60,220,20,1
0,0,0,33.69,1,160,60,220,20,1
0,0,0,45.0,1,180,60,220,20,1
0,0,0,63.43,1,200,60,220,20,1
0,0,0,90.0,1,220,60,220,20,1
0,0,0,116.57,0,240,60,220,20,1
0,0,0,161.57,0,240,80,220,20,4
0,0,0,165.96,0,240,100,220,20,4
0,0,0,168.69,0,240,120,220,20,4
0,0,0,170.54,0,240,140,220,20,4
0,0,0,171.87,0,240,160,220,20,4
0,0,0,172.87,0,240,180,220,20,4
0,0,0,173.66,0,240,200,220,20,4
0,0,0,174.29,0,240,220,220,20,4
0,0,0,174.81,0,240,240,220,20,4
0,0,0,175.24,0,240,260,220,20,4
0,0,0,175.6,0,240,280,220,20,4
0,0,0,175.91,0,240,300,220,20,4
0,0,0,176.19,0,240,320,220,20,4
0,0,0,176.42,0,240,340,220,20,4
0,0,0,176.63,0,240,360,220,20,4
0,1,0,176.82,0,240,380,220,20,4
0,0,0,176.99,-1,240,400,220,20,4
0,0,0,120.96,0,120,80,220,20,4
0,0,0,128.66,0,120,100,220,20,4
0,0,0,135.0,0,120,120,220,20,4
0,0,0,140.19,0,120,140,220,20,4
0,0,0,144.46,0,120,160,220,20,4
0,0,0,147.99,0,120,180,220,20,4
0,0,0,150.95,0,120,200,220,20,4
0,0,0,153.43,0,120,220,220,20,4
0,0,0,155.56,0,120,240,220,20,4
0,0,0,157.38,0,120,260,220,20,4
0,0,0,158.96,0,120,280,220,20,4
0,0,0,160.35,0,120,300,220,20,4
0,0,0,161.57,0,120,320,220,20,4
0,0,0,162.65,0,120,340,220,20,4
